Team,2010 budget,2011 budget,2012 budget,2013 budget,2014 budget,2015 budget,2016 budget,2017 budget
Vodafone McLaren Mercedes,220,320,220,220,230,465,217,451.7
Mercedes Grand Prix,185,225,160,200,300,467.4,310,497.3
Red Bull Racing,150,285,180,210,425,468.7,252,429.6
Scuderia Ferrari Marlboro,240,,,,,,,
AT&T Williams,90,140,130,120,150,186.4,123,185.3
Renault F1 Team ,105,185,,,,,176,271.2
Force India F1 Team,80,135,90,80,75,129.7,105,145.1
Scuderia Toro Rosso,105,125,83,83,80,137.45,117,125.3
Lotus F1 Racing,65,120,130,110,160,139.1,,
HRT F1 Team,40,,,,,,,
BMW Sauber F1 Team,75,125,90,75,85,103.25,111,90.9
Virgin Racing,45,66,,,,,,
,,,,,,,,
Ferrari,,440,240,245,410,418,386,473.5
Hispania,,55,,,,,,
Caterham,,,72,72,70,,,
Marussia,,,52,60,60,,,
Manor,,,,,,83,100,
Haas,,,,,,,117,117.6
